,ETER ID,English Institution Name,Reference year,Total academic personnel (FTE),Total academic personnel (HC),Total students enrolled ISCED 5-7,Total graduates ISCED 5-7,Total students enrolled at ISCED 8,Total graduates at ISCED 8,scopus_authors,number_articles,total_eter,state
168,IT0009,University of Bologna,2017,0,3609,82299,19484,1290,482,27989.0,90686.0,103555,Bologna
169,IT0010,Free University of Bozen-Bolzano,2017,0,490,3689,620,156,31,495.0,1093.0,4496,Bolzano
170,IT0012,University of Brescia,2017,0,1227,14836,2809,198,83,6806.0,18975.0,17926,Brescia
171,IT0013,University of Cagliari,2017,0,1114,25977,4398,371,177,8286.0,27272.0,30923,Cagliari
172,IT0014,University of Camerino,2017,0,437,7210,1285,155,51,2549.0,9146.0,8701,Macerata
173,IT0015,University of Molise,2017,0,440,7702,1095,100,38,1011.0,3062.0,8935,Campobasso
174,IT0017,University of Cassino and Southern Lazio,2017,0,481,7361,1416,113,52,695.0,2308.0,8942,Frosinone
175,IT0019,University of Catania,2017,0,1732,43393,6944,369,139,12501.0,39773.0,50845,Catania
176,IT0020,"University ""Magna Graecia""",2017,0,410,10992,1747,154,36,1797.0,4387.0,12929,Catanzaro
177,IT0022,Kore University of Enna (UKE),2017,0,163,5206,1156,61,5,169.0,358.0,6428,Enna
178,IT0023,University of Ferrara,2017,0,906,19278,3314,346,134,8387.0,26729.0,23072,Vicenza
179,IT0025,University of Florence,2017,0,2001,54198,9591,895,326,20006.0,65777.0,65010,Florence
180,IT0027,University of Foggia,2017,0,423,10635,1667,93,27,1738.0,4774.0,12422,Foggia
181,IT0028,University of Genoa,2017,0,2031,33876,6425,1020,295,19053.0,56285.0,41616,Genova
182,IT0029,University of L'Aquila,2017,0,896,16923,3776,210,86,5033.0,13995.0,20995,L'Aquila
183,IT0030,University of Salento,2017,0,751,16921,3254,242,118,2772.0,8612.0,20535,Lecce
184,IT0032,University of Macerata,2017,0,465,10312,2074,129,70,298.0,625.0,12585,Macerata
185,IT0033,University of Messina,2017,0,1144,23965,4114,270,169,8352.0,27950.0,28518,Messina
186,IT0035,Politecnico di Milano,2017,0,2368,46084,12007,1111,325,10072.0,29364.0,59527,Milano
187,IT0036,Università Cattolica del Sacro Cuore,2017,0,3916,42440,12507,474,227,9390.0,29269.0,55648,Roma
188,IT0038,University of Milan,2017,0,2909,63299,12420,930,393,43620.0,121351.0,77042,Milano
189,IT0039,Vita-Salute San Raffaele University,2017,0,307,3090,638,104,48,2449.0,5628.0,3880,Milano
190,IT0040,University of Milano-Bicocca,2017,0,1097,34445,7262,490,193,6431.0,16729.0,42390,Milano
191,IT0041,Online University San Raffaele Rome,2017,0,117,4237,332,0,0,23.0,35.0,4569,Roma
192,IT0042,University of Modena and Reggio Emilia (UNIMORE),2017,0,992,25432,5017,343,131,9233.0,28357.0,30923,Modena
193,IT0043,Suor Orsola Benincasa University,2017,0,192,8869,2152,39,6,33.0,54.0,11066,Napoli
194,IT0044,University of Campania Luigi Vanvitelli,2017,0,1078,26118,5118,409,100,6890.0,19353.0,31745,Napoli
195,IT0045,University of Naples Federico II,2017,0,2886,77937,14360,1009,442,16658.0,46890.0,93748,Napoli
196,IT0050,University of Padova,2017,0,3512,60896,14307,1272,389,29398.0,90907.0,76864,Padua
197,IT0051,University of Palermo,2017,0,1824,40553,7868,427,202,13751.0,40312.0,49050,Palermo
198,IT0052,University of Parma,2017,0,1171,25972,5168,400,146,12041.0,35311.0,31686,Parma
199,IT0053,Institute for Advanced Study - IUSS of Pavia,2017,0,56,70,68,61,14,167.0,277.0,213,Pavia
200,IT0054,University of Pavia,2017,0,1546,23797,5228,502,162,15680.0,46996.0,29689,Pavia
201,IT0055,University of Perugia,2017,0,1277,23630,4485,333,174,10940.0,35541.0,28622,Perugia
202,IT0056,University for Foreigners Perugia,2017,0,91,991,258,28,0,31.0,48.0,1277,Perugia
203,IT0057,Scuola Normale Superiore,2017,0,124,0,0,264,21,2596.0,7144.0,285,Pisa
204,IT0059,University of Pisa,2017,0,2538,46467,8497,717,226,19664.0,62869.0,55907,Pisa
205,IT0060,University of the Basilicata,2017,0,424,6647,961,118,45,1792.0,5748.0,7771,Potenza
206,IT0061,Università Mediterranea of Reggio Calabria,2017,0,351,5485,1038,133,38,1207.0,2989.0,6694,Reggio Di Calabria
207,IT0063,Roma Tre University,2017,0,1211,32904,6984,508,183,2507.0,6688.0,40579,Roma
208,IT0065,LUISS Guido Carli,2017,0,1490,10431,3394,97,34,408.0,740.0,13956,Roma
209,IT0066,Free University Maria SS. Assunta (LUMSA),2017,0,341,6365,1869,42,10,157.0,301.0,8286,Roma
210,IT0067,Campus Bio-Medico University,2017,0,182,2252,559,64,26,1404.0,3188.0,2901,Roma
211,IT0068,Sapienza University of Rome,2017,0,3915,106084,22228,3034,947,38359.0,101767.0,132293,Roma
212,IT0069,"University of Rome ""Foro Italico""",2017,0,77,2174,510,32,15,320.0,935.0,2731,Roma
